time,latitude,longitud,tweet
2020-02-03 12:37:05,41.87194,12.56738,Il Coronavirus diventa un malware. Ecco come difendersi -  #Coronavirus #diventa #malware.  https://t.co/nZ2kEb7WQy
2020-02-03 12:36:55,51.165691,10.451526,RT @reach2ratan: How to change iOS 13 settings for better security https://t.co/d3cONdA0Ku  #CyberSecurity #Databreach #Hackers #infosec @r...
2020-02-03 12:35:36,36.0913803,-95.8292594,RT @CioAmaro: Costs of cyberattacks | Northamptonshire Chamber  #infographic @CioAmaro #Infosec #CyberSecurity #CyberAttack #Hack #Breach #...
2020-02-03 12:35:11,45.4642035,9.189982,RT @atolivia: #Malware Shlayer. #Kaspersky for #macOS   https://t.co/UIzs88Qstd
2020-02-03 12:34:24,30.3321838,-81.65565099999999,RT @reach2ratan: How to change iOS 13 settings for better security https://t.co/d3cONdA0Ku  #CyberSecurity #Databreach #Hackers #infosec @r...
2020-02-03 12:34:13,45.4642035,9.189982,Si moltiplicano le segnalazioni di campagne mail  anche in Europa  che promettono informazioni sul #Coronavirus ma contengono allegati con il #malware #Emotet. #bankingtrojan.  https://t.co/TGL1nBH6aU
2020-02-03 12:34:04,36.0913803,-95.8292594,RT @reach2ratan: How to change iOS 13 settings for better security https://t.co/d3cONdA0Ku  #CyberSecurity #Databreach #Hackers #infosec @r...
2020-02-03 12:33:18,36.0913803,-95.8292594,RT @0xrb: @bad_packets @digitalocean again #Mirai #DDoS #IoT #Malware #UPX #Trojan.Linux #Backdoor  IP: 159.89.143.222 Payload LINK: hxxp:/...
2020-02-03 12:32:44,45.4642035,9.189982,#cryptojacking Un wallpaper con Kobe Bryant in realta nascondeva un #malware  https://t.co/rtWZROHP0j
2020-02-03 12:32:32,36.0913803,-95.8292594,RT @FBussoletti: #Cybercrime. #coronavirus becomes weapon for carrying #Malware. #CyberSecurity experts: #malspam campaigns to spread #Emot...
2020-02-03 12:31:55,40.8517983,14.26812,RT @teamcymru: #TrickBot Uses a New Windows 10 UAC Bypass to Launch Quietly #malware https://t.co/KWFkH3vhTO https://t.co/yxuUxeBsml
2020-02-03 12:31:41,36.0913803,-95.8292594,RT @Mariaclark9309: Avast for Complete Security If you are a computer user then you must have #Avast_antivirus on your device. This antivir...
2020-02-03 12:31:16,17.385044,78.486671,RT @noikeanolife: 5 solutions for the future of #cybersecurity#wef https://t.co/sNI2zg8iA7 #management #CyberCrime #InfoSec #CIO #IT #biz...
2020-02-03 12:30:56,36.0913803,-95.8292594,RT @AcidTec: #Android alert: New #malware can break a smartphone when you try and delete it https://t.co/sndrE8QbKA
2020-02-03 12:30:11,40.4167754,-3.7037902,#Kaspersky descubre #malware enmascarado bajo la apariencia de archivos PDF. MP4 y docx que dan a entender que contienen instrucciones en video sobre como protegerse del #coronavirus   https://t.co/boJZoTtJC6
2020-02-03 12:30:09,12.9715987,77.5945627,Cybersecurity Lacking At Most Of The World's Major Airports https://t.co/OBhitW6k1t  #CyberSecurity #Databreach #Hackers #infosec @reach2ratan #AI #ML #malware #cloud #cloudsecurity #Machinelearning #Analytics #Blockchain #dataprotection #Privacy #ArtificialIntelligence https://t.co/Y5y1856VyX
2020-02-03 12:26:55,52.22599659999999,-0.5442775,British Council Blocked Over 10 Million Malicious Emails in 2019 #malware #trojanhorses #worms #phishing #IoT #tech #infosec #CyberSecurity #cybercrime   https://t.co/OkM4SQzyMT
2020-02-03 12:25:15,27.7045499,-99.7609631,La #esteganografia digital. una tecnica utilizada para ocultar un codigo malicioso en archivos multimedia (generalmente en imagenes JPEG y PNG). aunque tambien se ha descubierto #malware en archivos de audio WAV. Via @europapress. Participa S2 Grupo: https://t.co/2h484uKmpy https://t.co/1DoEAjDpfN
2020-02-03 12:25:08,-38.416097,-63.61667199999999,When downloading an app. make sure is the official one and read the reviews. @vusecurity #cybertips #cybersecurity #infosec #apps #hacker #malware #privacy #dataprotection #risk #android #ios https://t.co/gOtQTYfyAo
2020-02-03 12:24:47,37.9642529,-91.8318334,RT @reach2ratan: Kenya Court Halts Biometric ID Over Data Fears https://t.co/LVDj2mKsKV  #CyberSecurity #Databreach #Hackers #infosec @reac...
2020-02-03 12:24:13,34.7013924,135.1904004,RT @noikeanolife: 5 solutions for the future of #cybersecurity#wef https://t.co/sNI2zg8iA7 #management #CyberCrime #InfoSec #CIO #IT #biz...
2020-02-03 12:23:45,37.0348389,-95.6152822,RT @CioAmaro: Organizations expect to boost their cybersecurity investments by 34% - Help Net Security https://t.co/1CU3m8NAam  #Infosec #C...
2020-02-03 12:23:28,41.6032207,-73.087749,Malware Analysis #OSINT  #malware  https://t.co/2hBEp9VaDR https://t.co/9SNaKGsukC https://t.co/DGDvkf6P5f https://t.co/AtgIpDc3Aw https://t.co/xtdBYDkhNX https://t.co/ryzRY717wW https://t.co/mbS0Fga79M https://t.co/ByXsVdtcjK https://t.co/1l586hmil1
2020-02-03 12:22:15,23.022505,72.5713621,RT @thejupaul: Air Force hires Trueface for facial recognition on bases https://t.co/tpd0UYrGkb  #CyberSecurity #Databreach #Hackers #infos...
2020-02-03 12:21:36,17.385044,78.486671,RT @rtehrani: A year after Bank of Valletta 'cyber heist'. cuffs applied as cash-cleansing case continues https://t.co/T1o8AVJJis  #Cyberse...
2020-02-03 12:21:35,40.46366700000001,-3.74922, El #malware #Emotet aprovecha el miedo al #coronavirus para infectar a ciudadanos japoneses.  #GDPR #RGPD #protecciondedatos #privacidad #LOPD #ciberseguridad #seguridad #antivirus https://t.co/IWUWYZJCRR
2020-02-03 12:20:05,51.5073509,-0.1277583,RT @GDPR123: Police Warning: Cyber Criminals Are Using Cleaners to Hack Your Business https://t.co/wLvSxG1nM3 via @CBROnline.com #Cybersecu...
