time,latitude,longitud,tweet,lat_original,long_original
2020-02-03 12:36:55,51.165691,10.451526,RT @reach2ratan: How to change iOS 13 settings for better security https://t.co/d3cONdA0Ku  #CyberSecurity #Databreach #Hackers #infosec @r...,12.9715987,77.5945627
2020-02-03 12:35:36,36.0913803,-95.8292594,RT @CioAmaro: Costs of cyberattacks | Northamptonshire Chamber  #infographic @CioAmaro #Infosec #CyberSecurity #CyberAttack #Hack #Breach #...,23.634501,-102.552784
2020-02-03 12:34:24,30.3321838,-81.65565099999999,RT @reach2ratan: How to change iOS 13 settings for better security https://t.co/d3cONdA0Ku  #CyberSecurity #Databreach #Hackers #infosec @r...,12.9715987,77.5945627
2020-02-03 12:34:04,36.0913803,-95.8292594,RT @reach2ratan: How to change iOS 13 settings for better security https://t.co/d3cONdA0Ku  #CyberSecurity #Databreach #Hackers #infosec @r...,12.9715987,77.5945627
2020-02-03 12:33:18,36.0913803,-95.8292594,RT @0xrb: @bad_packets @digitalocean again #Mirai #DDoS #IoT #Malware #UPX #Trojan.Linux #Backdoor  IP: 159.89.143.222 Payload LINK: hxxp:/...,25.7705992,-80.1894034
2020-02-03 12:32:32,36.0913803,-95.8292594,RT @FBussoletti: #Cybercrime. #coronavirus becomes weapon for carrying #Malware. #CyberSecurity experts: #malspam campaigns to spread #Emot...,41.9027835,12.4963655
2020-02-03 12:31:55,40.8517983,14.26812,RT @teamcymru: #TrickBot Uses a New Windows 10 UAC Bypass to Launch Quietly #malware https://t.co/KWFkH3vhTO https://t.co/yxuUxeBsml,28.7588833,-81.3178446
2020-02-03 12:31:41,36.0913803,-95.8292594,RT @Mariaclark9309: Avast for Complete Security If you are a computer user then you must have #Avast_antivirus on your device. This antivir...,51.5073509,-0.1277583
2020-02-03 12:24:47,37.9642529,-91.8318334,RT @reach2ratan: Kenya Court Halts Biometric ID Over Data Fears https://t.co/LVDj2mKsKV  #CyberSecurity #Databreach #Hackers #infosec @reac...,12.9715987,77.5945627
2020-02-03 12:23:45,37.0348389,-95.6152822,RT @CioAmaro: Organizations expect to boost their cybersecurity investments by 34% - Help Net Security https://t.co/1CU3m8NAam  #Infosec #C...,23.634501,-102.552784
2020-02-03 12:21:36,17.385044,78.486671,RT @rtehrani: A year after Bank of Valletta 'cyber heist'. cuffs applied as cash-cleansing case continues https://t.co/T1o8AVJJis  #Cyberse...,41.2428563,-73.2006639
2020-02-03 12:20:05,51.5073509,-0.1277583,RT @GDPR123: Police Warning: Cyber Criminals Are Using Cleaners to Hack Your Business https://t.co/wLvSxG1nM3 via @CBROnline.com #Cybersecu...,55.378051,-3.435973
2020-02-03 12:18:41,37.0348389,-95.6152822,RT @rtehrani: A year after Bank of Valletta 'cyber heist'. cuffs applied as cash-cleansing case continues https://t.co/T1o8AVJJis  #Cyberse...,41.2428563,-73.2006639
2020-02-03 12:14:22,31.9685988,-99.9018131,RT @biz4intellia: Now #cybercriminals too are deploying #malware under the camouflage #CoronaVirus.  #Biz4Intellia as an #IoT industry lead...,28.5383355,-81.3792365
2020-02-03 12:08:13,53.3498053,-6.2603097,RT @bamitav: The difference between zero-day vulnerability and zero-day exploit https://t.co/ts51mzNU2z via @searchsecurity  #InfoSec #Secu...,12.9715987,77.5945627
2020-02-03 12:08:12,53.3498053,-6.2603097,RT @immuniweb: #Maze #Ransomware Hits Law Firms and French Giant Bouygues: https://t.co/6C1vfQAm2w #malware,46.2043907,6.1431577
2020-02-03 12:08:12,53.3498053,-6.2603097,RT @bamitav: Prevent ransomware attacks on cities in perimeterless networks https://t.co/WUSk2fg0HH via @searchsecurity  #InfoSec #Security...,12.9715987,77.5945627
2020-02-03 12:05:09,18.5204303,73.8567437,RT @immuniweb: #Maze #Ransomware Hits Law Firms and French Giant Bouygues: https://t.co/6C1vfQAm2w #malware,46.2043907,6.1431577
2020-02-03 12:03:28,8.4542363,124.6318977,RT @CybersecAsia: You think you've been updated about nCoV2019? No. You were being attacked!  Beware. Cybercriminals are preying on your pa...,1.352083,103.819836
2020-02-03 12:01:36,17.385044,78.486671,RT @HeliosCert: Sample submitted 2020-02-03 12:00:03 URL: https://t.co/6Pwhv6Lb56  65f88c31fc6c28b9a22399cbf54c89e06b5205399279328d43e447d5...,52.52000659999999,13.404954
2020-02-03 12:00:51,41.2705484,-72.9469711,RT @HeliosCert: Sample submitted 2020-02-03 12:00:03 URL: https://t.co/6Pwhv6Lb56  65f88c31fc6c28b9a22399cbf54c89e06b5205399279328d43e447d5...,52.52000659999999,13.404954
2020-02-03 11:58:16,43.7844397,-88.7878678,RT @CioAmaro: Costs of cyberattacks | Northamptonshire Chamber  #infographic @CioAmaro #Infosec #CyberSecurity #CyberAttack #Hack #Breach #...,23.634501,-102.552784
2020-02-03 11:51:36,17.385044,78.486671,RT @abonauta: Atacantes empiezan a usar el #coronavirus para realizar ataques de #phishing y #malware  https://t.co/DL1FWZWQl7,43.3623436,-8.4115401
2020-02-03 11:46:03,40.4172871,-82.90712300000001,RT @colemankane: For all my #infosec friends. I've started teaching my #malware analysis class again at @uofcincy. We're a few weeks in now...,39.1031182,-84.5120196
